Problem statement ID,Title,Description,Tags
RUTH189,Digital Complaint Box for Colleges,A simple portal for students to submit anonymous complaints or suggestions to the administration.,"EdTech, Community, Web App"
RUTH190,Traffic-free Route Suggestion App,Suggest alternate routes in real-time using crowdsourced traffic data.,"Transport, Maps, Real-time Data"
RUTH191,Community Book Exchange Portal,Build a platform where people can list and exchange books within their locality.,"Community, Education, Web App"
RUTH192,Digital Plant Disease Identifier,"Farmers upload plant images, and the system suggests possible diseases and remedies.","Agriculture, AI, Mobile App"
RUTH193,Local Festival Event Finder,"A web portal listing local cultural events with dates, venues, and ticket info.","Tourism, Community, Web App"
RUTH194,QR Menu for Small Restaurants,Create a digital menu accessible via QR codes for small eateries to reduce paper menus.,"Retail, Hospitality, Web App"
RUTH195,City Noise Pollution Mapper,Crowdsourced app to report noise pollution hotspots in cities for awareness.,"Environment, Civic Tech, Mobile App"
RUTH196,Ward-level Waste Pickup Tracker,Citizens can check daily garbage pickup status for their locality on a map.,"Civic Tech, Smart City, Web App"
RUTH197,Student Skill Portfolio Builder,"Students can create simple digital portfolios showcasing projects, internships, and certifications.","EdTech, Career, Web App"
RUTH198,Micro-jobs Portal for College Students,"A platform for students to find short-term paid gigs like surveys, design work, etc.","EdTech, Freelance, Web App"
RUTH199,Digital Traffic Fine Payment System,Build a system for citizens to check and pay traffic fines online easily.,"Civic Tech, Fintech, Web App"
RUTH200,College Bus Live Tracking App,Students can see the real-time location of their college bus for better time management,"EdTech, Transport, Mobile App"
RUTH201,Smart Queue System for Government Offices,Build a simple app to generate digital tokens and notify citizens about their turn to reduce waiting time in government offices.,#E-Governance #QueueManagement #India
RUTH202,Instant Crop Price Checker,Create a mobile web app where farmers can instantly check the latest crop prices from government portals via APIs.,#Agritech #Farmers #DataIntegration
RUTH203,Real-Time Rainfall Notifier,Make a weather alert system to notify local communities about sudden rainfall using weather APIs and SMS alerts.,#Weather #Alerts #CommunitySafety
RUTH204,Digital Lost & Found Board for Colleges,Build a simple platform for students to report and find lost items inside the college campus.,#CollegeTech #LostAndFound #WebApp
RUTH205,Blood Donation Drive Scheduler,A basic app for NGOs to announce blood donation camps and for donors to register slots.,#Healthcare #NGO #Scheduling
RUTH206,E-Waste Pickup Request System,Allow users to request doorstep pickup for e-waste disposal and link to local recyclers.,#Environment #Recycling #Sustainability
RUTH207,College Event Polling App,Build a voting platform for students to suggest and vote on college event ideas,#CollegeEvents #Polling #WebApp
RUTH208,Real-Time Bus Seat Availability Checker,A lightweight tool for checking if seats are available on specific intracity buses using crowdsourced data,#Transport #Crowdsourcing #Travel
RUTH209,QR-Based Attendance for Classes,Build a QR scanner for teachers to mark attendance instantly using smartphones,#EdTech #Attendance #QRTech
RUTH210,Medication Reminder App for Elderly,A simple Android app that reminds elderly users about their medicine timings with audio alerts.,#Healthcare #ElderCare #Android
RUTH211,Smart Parking Spot Locator for Malls,Help users find free parking slots inside malls via real-time updates using volunteers/crowdsourcing.,#Parking #Crowdsourcing #SmartCity
RUTH212,Local Water Quality Reporter,Build a platform where citizens can report and view the water quality status in their area.,#WaterSafety #CivicTech #Community
RUTH213,Campus Second-Hand Book Exchange,A simple web app where students can sell or exchange used textbooks on campus.,#CollegeLife #BookExchange #Marketplace
RUTH214,Affordable Hostel Finder for Students,"Build a hostel discovery app with prices, facilities, and availability filters for students.",#Housing #Students #Discovery
RUTH215,Waste Segregation Awareness Game,Create a simple game that teaches waste segregation using drag-and-drop mechanics.,#Awareness #GameDev #Sustainability
RUTH216,Pollution Mask Vending Locator,Map locations of vending machines selling pollution masks in metro cities.,#Pollution #HealthTech #Mapping
RUTH217,Public Toilet Rating App,Allow users to rate public toilets on cleanliness and hygiene for others to see.,#CivicTech #Hygiene #Crowdsourcing
RUTH218,Instant Job Fair Registration Kiosk,A simple kiosk app for walk-in candidates to register digitally at job fairs.,#JobTech #Events #Recruitment
RUTH219,Free Wi-Fi Hotspot Map for Tourists,Map all free Wi-Fi hotspots in popular tourist areas for easy access.,#Tourism #Connectivity #Mapping
RUTH220,Smart Library Seat Booking,Enable students to book reading desks in libraries via a simple mobile app.,#LibraryTech #SeatBooking #EdTech
RUTH221,Women Safety Alert via SMS,An app that sends live location via SMS to emergency contacts with one tap.,#Safety #WomenEmpowerment #EmergencyTech
RUTH222,Real-Time Electricity Outage Map,Allow users to report power outages so neighbors can see live outage areas.,#EnergyTech #Crowdsourcing #CivicTech
RUTH223,AI-Based Speech-to-Text Notes for Students,Build a web app to convert lectures into notes using speech-to-text APIs.,#EdTech #AI #Productivity
RUTH224,Flood Shelter Locator,Map all flood relief shelters with capacity info for affected people.,#DisasterManagement #CivicTech #Mapping
RUTH225,Local Market Delivery Coordination Tool,Help small shopkeepers coordinate local deliveries without big delivery apps.,#RetailTech #Delivery #SMEs
RUTH226,Easy College ID Card Generator,A web tool for admins to quickly generate printable student ID cards.,#AdminTools #CollegeTech #WebApp
RUTH227,Digital Recipe Sharing for Local Cuisines,Platform for users to share home recipes in regional languages.,#FoodTech #Community #Culture
RUTH228,Online RTI Filing Assistant,Guide citizens step-by-step in filing Right to Information requests online.,#CivicTech #Transparency #E-Governance
RUTH229,Traffic Fine Calculator,An app to calculate possible traffic fines based on recent violations and state laws.,#Transport #CivicTech #Traffic
RUTH230,Water Tanker Arrival Tracker,Track water tanker timings for societies facing water shortages,#WaterTech #Community #CivicTech
RUTH231,Emergency Blood Group Matcher,Quickly match patients with nearest available blood donors using city-level data,#Healthcare #BloodDonation #Community
RUTH232,Local Language Dictionary App,Simple translator between local dialects and English/Hindi for rural areas.,#LanguageTech #Education #Accessibility
RUTH233,Farmers’ Weather-Based Crop Suggestion Tool,Suggest suitable crops based on current weather conditions for small farmers.,#Agritech #Farmers #AI
RUTH234,Event Budget Splitter Tool,A web tool for splitting costs among friends organizing events.,#FinanceTech #CollegeLife #Events
RUTH235,Missing Pet Finder,Platform to post about missing pets and connect with local shelters.,#AnimalCare #Community #LostAndFound
RUTH236,Realtime Noise Pollution Monitor,"Citizens can report noisy areas, creating a live noise pollution map.",#Environment #CivicTech #Crowdsourcing
RUTH237,College Notes Sharing Portal,Students upload and share study materials easily in one place.,#EdTech #NotesSharing #Students
RUTH238,Personal Finance Tracker for Students,A simple web app to help students manage monthly expenses,#FinanceTech #Students #Budgeting
RUTH239,Fitness Habit Streak Tracker,Build a minimal habit tracker for daily exercise goals,#HealthTech #Fitness #Productivity
RUTH240,College Placement Drive Dashboard,A single dashboard for students to see upcoming placement schedules,#CollegeTech #Placements #Dashboard
RUTH241,Local Organic Vegetable Finder,A map-based tool to find nearby organic vegetable vendors.,#FoodTech #Sustainability #Health
RUTH242,Panchayat Grievance Reporter,A simple portal for villagers to report local civic problems digitally.,#RuralTech #CivicTech #E-Governance
RUTH243,Energy Bill Splitter for PGs,Help PG roommates split electricity and water bills equally online.,#FinanceTech #Students #Housing
RUTH244,QR Menu Card for Street Food Vendors,Generate QR codes for menus and prices for small street vendors,#FoodTech #DigitalIndia #SMEs
RUTH245,Self-Defense Tutorial App,Share basic self-defense video tutorials for women’s safety.,#Safety #WomenEmpowerment #EdTech
RUTH246,NGO Donation Tracker,Allow NGOs to track donations and expenditures transparently.,#NGO #FinanceTech #Transparency
RUTH247,Local Public Transport Feedback Tool,Collect passenger feedback on buses and autos digitally.,#Transport #CivicTech #Feedback
RUTH248,Campus Skill Exchange Platform,Students can exchange skills like guitar lessons for coding help.,#CollegeLife #SkillSharing #Community
RUTH249,Tree Plantation Tracker,Track planted trees and their growth with GPS coordinates.,#Environment #Sustainability #CivicTech
RUTH250,Digital Food Wastage Logger,Restaurants log leftover food so NGOs can pick it up for the needy.,#FoodTech #NGO #Sustainability
RUTH251,"Development of software application for analysis and processing of dvbs2 receiver output stream i.e., raw BB Frames, GSE and TS in near real time","Classification & identification of audio, video, data & protocol such as MPE, ULE, SIP, RTP, FTP, SFTP, HTTP, HTTPS, SNMP, POP, SMTP, SSH etc. 2. Classification Identification of encryption/scrambling if present in stream through headers and SI tables 3. Extraction of VoIP calls, audio and video programs, file, email, web-page etc in separate files. 4. Decoding and playing selected audio/video contents Preferred Language- Python, Lab-view, C/C++, VHDL/Verilog Expected Outcome- Algorithm/Software/GUI Preferred Platform- Windows/Linux.","Software, Space Technology"
RUTH252,Suggest an Al-based solution to enable ease of grievance lodging and tracking for citizens across multiple departments,"A robust grievance redressal mechanism is a crucial component of any administration. An efficient and effective procedure for addresstng grievances demonstrates an administration's accountability responsiveness, and user-friendliness. However, the ease of lodging a complaint or grievance by citizens is often lacking in many lndian cities. Given the large migratory population in tndian cities, consisting of individuals who may not be familiar with English, Hindi, or the local regional language, citizens face","Software, Smart Automation"
RUTH253,Smart and Effective realtime Management of street parking,"ln lndia, the number of vehicles is constanfly on the rise, while the availability of parking space in cities has not kept pace with the increasing vehicle numbers, primarily due to the rapid groMh in population. Consequenfly, issues such as traffic congestion, narrowed streets due to on-street parking, a mismatch between parking supply and demand, and illegal parking have become all too familiar in lndian cities. Parking space has become a scarce commodity, and instead of simply increasing the number of available parking spaces, it is crucial to employ effective technology-based solutions to optimize their utilization. Smart parking solutions, utilizing sensors and software, can provade realtime information on available parking spaces to both city officials and drivers. Furthermore, leveraging emerging technologies can help optimize parking prices. A low parking price may encourage more vehicles on the road, leading to increased air and noise pollution, whereas too high prices may generate less revenue and less efectuve resource usage.Apart from the loss of revenue for operators, there is economic downside to the business in vicinity, effect on government taxes, employment.At the same parking space area and costs also have a corelation to balance optimum usage and revenue. Therefore, setting the right price for parking based on demand and optimizing occupancy is the best approach. The primary objective of the solution should be to equip city administrators with an effective parking management tool that can predict, manage, and finance parking in cities. An app should be developed to allow citizens to conveniently reserve pce king spots and make payments based on dynamic pricing This not only saves citizens' time spent searching the parking but also reduces environmental degradation resulting from congestion caused by parking and provides a sustainable source of revenue for the city administration. We need an innovative, simple and widely coveraged parking needs in the city and also become most compliant for Traffic and mobility needs.",
RUTH254,Comprehensive lnspection and Analysis of Water Supply Distribution Lines,"Water resources across the globe are slowly on the depletion and its forecasted that the ZERO water day will not be far away if water resources ate not protected well. one the the crucial area that stilp lies in the human hands is to save the watet leakages and pay a strong water distrulibution network that improves effeicient use of water.The challenge is to conduct thorough inspections of water supply distribution lines, ranging from 100 to 200mm in diameter, in order to detect leakages, pilferage, damage, and other issues. The solution requires access to a cloud_based dashboard for data analytics, visualization, and report generation. The solution enhance service delivery, improve repair work efficiency, reduce water leakage, and streamline pipeline condition assessment. The solution should enable immediate action on contamination complaints, early detection of leaks, reduction in labor_intensive breakdown management, and facilitate GIS mapping of the pipelines. Overcoming deployment constraints involving live inspections, image analytics, and laser projections will ensure accurate and efficient assessment of the water supply distribution lines","Clean & Green Technology, Hardware"
RUTH255,Land profiling of Asset Creation process,"There are various types of permissible works being taken up under the Mahatma Gandhi NREGS which are earthwork related works which requires excavation/land cuttin& land filling land levelling etc. As per the current practice of execution of the works under the scheme, there is a photograph taken of the worksite before initiating the work and the estimated quantity of the work to be executed in form of technical design & estimate. During the stages of execution, the technical person/engineer in-charge of the site, maintains the work done on site in form of measurements in the measurement book and accordingly the payment of the labour & material is generated. lt becomes difficult to ascertain the exact work done on ground during the audit/inspections after the work completion. A land profile of the worksite (in terms of contour levels or 3D modelling) before initiating the work and after work completion can provide a necessary information to derive the actual work done through analysing the land profiles in 3 dimensions (3D1. The profiles can be generated in reference to a fixed benchmark level available on the worksite. ln this regard a technology driven solution for 3D Profiling may be provided.",
RUTH256,Leveraging the power of deep learning to overcome the challenges of marine engineering and improve vessel operations.,"Developing an artificial neural network for the marine industry presents significant challenges, including limited computing power, unreliable communication infrastructure, low availability of data and complex vessel systems. The goal of this problem is to design and develop an effective AI solution using deep neural networks that can optimize vessel performance, reduce operational costs, and improve safety in the context of merchant vessel operations. The solution must be able to demonstrate high accuracy, robustness, and scalability, while also addressing the unique challenges faced by the marine industry. Participants are encouraged to explore novel approaches to training and deployment, including techniques for data processing, feature extraction, and model optimization.",
RUTH257,Design a game-based tool to aware kids about the law related to their rights.,"Children are often unaware of their legal rights, such as the right to education, protection from exploitation, freedom of expression, and protection against abuse or discrimination. Traditional methods of teaching laws and rights (such as lectures, textbooks, or awareness campaigns) fail to capture the attention of kids due to their complexity and lack of engagement. This gap in awareness makes children vulnerable to violations of their rights, as they do not recognize when their rights are being denied or violated.To address this challenge, there is a need to design an interactive, game-based learning tool that simplifies legal concepts and presents them in a child-friendly way. Through engaging gameplay, stories, challenges, and rewards, kids can learn about their rights in a fun, memorable, and impactful manner. The tool should include elements like role-playing, quizzes, puzzles, and real-life scenarios where children make decisions that demonstrate their understanding of laws and rights.",
RUTH258,Aerial Location of Hazardous Atmosphere in Industries,"Fire Prevention is better than Firefighting. With an increase in Industrialization and globalisation, there has been a spate of fire accidents occurring in the past few years. Every fire incident in industries causes massive losses to the assets of the nation. There are various cases of fire which caused enormous loss of property and human life, like the IOCL Jaipur fire in 2009, NTPC Power Plant Explosion, Unchahar in 2017, and various others. As per the National Crime Records Bureau, over 60 people die every day in India due to fire. In IOCL 2009 fire itself, the industry suffered a loss of thousands of crores. To prevent such incidents and minimize such economic losses, all industries need to have a Fire Pre Plan which should be a part of the Emergency Response and Disaster Management Plan (ERDMP), and the extent of a fire hazard which includes Flammability Area, Toxic Area and Threat zone calculation is instrumental in designing the Fire Pre-Plan for any industry using Areal Location of Hazardous Atmosphere.",
RUTH259,Leveraging the power of deep learning to overcome the challenges of marine engineering and improve vessel operations,"The 14.6 km long cable belt conveyor passing over complex hilly terrain suffers belt dislodgements due to various reasons resulting in the sudden loss of production. Solution Desired: Capture reasons for belt dislodgements across its 14.6 KM length from past data and using suitable ML software, prediction of belt dislodgements should be done beforehand to take corrective and preventive actions.",
RUTH260,"Capacity building, performance assessment and motivation driven tool for faculty upgradation","If teachers were given more freedom, as would likely happen if a blended learning model were introduced as mentioned above, innovation would rocket, and an education system overhaul isn't exactly necessary to accomplish that. After all, there are (and will always be) plenty of options open to teachers to introduce more creativity and innovation to their lessons. Some of the options include Learning Management System (LMS), which allows teachers to create their own personalized, interactive courses from content provided by a range of publishers. Students can then access these courses on any device, while the app keeps a record of how they are progressing. If students are struggling. the course can quickly be altered. If students struggle with boredom, game-based learning can be introduced with LMS. Although granting teachers access to tablets and smartboards may help boost their comfort with education technology, many teachers simply have not thought about how they can best utilize technology in their curriculum. Indeed, the way a history teacher utilizes laptops in the classroom may be very different than the way a math teacher utilizes a smartboard. Both likely require plenty of time for trial, error, and experimentation to bring their lesson plans up to date. A major challenge in the adoption of new tools is not providing teachers with the guidance they need to make education technology work for them in their specific classroom. To overcome the challenge, it is necessary to have ERP solution for the teachers with adequate credit mechanism which can used for appraisals and performance-based incentives to the teachers.",
RUTH261,"Education ecosystem for specially abled student need provision and improvement to take care of compliance, governance and conduct",,
RUTH262,Develop a Proctored exam tool for shortlisting the candidates for the national and international level hackathons,"The problem at hand is to develop an efficient and reliable Proctored Exam Tool that automates the proctoring process and enables institutions, organizations, and testing agencies to administer secure and scalable remote examinations. The Proctored Exam Tool should aim to address the following challenges: 1. Remote Monitoring: The software should allow proctors to remotely observe the exam-takers via webcam and screen sharing to ensure that no unauthorized assistance is provided during the exam. 2. Identity Verification: Implement a robust identity verification mechanism to ensure that the exam-taker is the intended praticipants, preventing impersonation and fraud. 3. Cheating Prevention: Incorporate advanced monitoring features, such as real-time AI-based facial recognition, eye tracking, and suspicious behaviour detection, to identify and flag potential instances of cheating. 4. Secure Environment: Ensure that the exam environment remains secure by disabling access to unauthorized resources like other applications, websites, or external devices during the examination. 5. Data Privacy: The tool should adhere to stringent data privacy and security standards to protect sensitive information of both exam-takers and organisers. 6. User-friendly Interface: Design an intuitive and user-friendly interface for both proctors and exam-takers to facilitate easy navigation and seamless exam administration. 7. Scalability: The software should be capable of handling a large number of concurrent exam-takers without compromising on performance or security. 8. Compatibility: Ensure compatibility with different operating systems, browsers, and devices to accommodate diverse user preferences and accessibility needs. 9. Integration: The Proctored Exam Tool should be able to integrate with various application and assessment platforms commonly used in institutions, organizations, and testing agencies. 10. Reporting and Analytics: Provide comprehensive exam reports and analytics to assist institutions in evaluating exam performance, identifying trends, and making data-driven decisions.",
RUTH263,Student Innovation,Challenges your creative minds to conceptualize and develop unique toys and games,"Toys and Game, Software"
RUTH264,Student Innovation,Ideas focused on the intelligent use of resources for transforming and advancements of technology with combining the artificial intelligence to explore more various sources and get valuable insights.,"Smart Automation, Software"
RUTH265,Student Innovation,Ideas that can boost fitness activities and assist in keeping fit,"Fitness & Sports, Software"
RUTH266,Student Innovation,Ideas that showcase the rich cultural heritage and traditions of India,"Heritage & Culture, Software"
RUTH267,Student Innovation,"Cutting-edge technology in these sectors continues to be in demand. Recent shifts in healthcare trends, growing populations also present an array of opportunities for innovation","MedTech / BioTech / HealthTech, Software"
RUTH268,Student Innovation,"Developing solutions, keeping in mind the need to enhance the primary sector of India - Agriculture and to manage and process our agriculture produce","Agriculture, FoodTech & Rural Development, Software"
RUTH269,Student Innovation,Creating intelligent devices to improve the commutation sector,"Smart Vehicles, Software"
RUTH270,Student Innovation,"Submit your ideas to address the growing pressures on the citys resources, transport networks, and logistic infrastructure.","Transportation & Logistics, Software"
RUTH271,Student Innovation,"There is a need to design drones and robots that can solve some of the pressing challenges of India such as handling medical emergencies, search and rescue operations, etc",Robotics and Drones
RUTH272,Student Innovation,"Solutions could be in the form of waste segregation, disposal, and improve sanitization system.","Clean & Green Technology, Software"
RUTH273,Student Innovation,"A solution/idea that can boost the current situation of the tourism industries including hotels, travel and others","Travel & Tourism, Software"
RUTH274,Student Innovation,Innovative ideas that help manage and generate renewable /sustainable sources more efficiently.,"Renewable / Sustainable Energy, Software"
RUTH275,Student Innovation,Provide ideas in a decentralized and distributed ledger technology used to store digital information that powers cryptocurrencies and NFTs and can radically change multiple sectors.,"Blockchain & Cybersecurity, Software"
RUTH276,Student Innovation,"Disaster Management includes ideas related to risk mitigation and Planning before,after or Duration of Disaster","Disaster Management, Software"
RUTH277,Student Innovation,"Smart Education, a Concept that Describes learning in digital age.it enables learner to learn more effectively,efficently,flexibly and comfortably","Smart Education, Software"
RUTH278,Design and Developed a personalized online meeting system for AICTE,"In AICTE many online meetings are conducted to various stakeholders of AICTE such as Institutes, faculty members, HOD and in the Ministry also. Lot of confidential data has been shared through these online meeting. In order to increase security and to make a robust system a personalized online meeting portal is needed in AICTE. 1. Based on the requirements, design the architecture of the online meeting system. Determining the components, such as the server infrastructure, database, APIs, and user interfaces, that will be needed to develop the system. 2. Develop the backend infrastructure: Build the backend infrastructure that will handle the core functionalities of the online meeting system. This typically includes user management, meeting scheduling, real-time communication, file sharing, and any custom features required in AICTE. 3. Implement video conferencing capabilities: Integrate video conferencing functionality into the system. Web Real-Time Communication technology to facilitate real-time video and audio communication between participants. 4. Create a user-friendly interface for participants to join meetings, manage settings, access recordings, and utilize additional features. 5. Implement robust security measures to protect the online meetings and user data. This includes encryption of data in transit and at rest, user authentication and access controls, secure storage of meeting recordings, and adherence to privacy regulations.","Blockchain & Cybersecurity, Software"
RUTH279,Awareness and Preparedness Towards Disaster Management,"Disasters can strike anytime, anywhere, and can have devastating effects on individuals, families, communities, and entire countries. Therefore, it's crucial to have awareness and preparedness towards disaster management. The mock exercises. School Safety Programmes (SSP), and Community Awareness programme (CAP) that will be conducted by various stakeholders such as NDRF/SDRF, etc. These exercises are aimed at enhancing the preparedness and response capabilities of our community to deal with any emergency or disaster situation. The exercises are designed to simulate real-life scenarios and test the response capabilities of various agencies involved in disaster management. These exercises are crucial in identifying gaps in our preparedness and response capabilities and help in improving them To benefit from these programs, it is important to give a notification regarding mock exercises, SSP, and CAP conducted by various stakeholders such as NDRF/SDRF, etc., to concern people so that they registered timely and became a beneficiary/ a part of the exercise. This will enable to concern to be prepared for any eventualities that may occur in the future. The system provides the contact number, links, and information regarding Disaster Management Authorities. Datasheet of various previous disasters, do's, and don'ts, it may include early warning of disaster.","Disaster Management, Software"
RUTH280,Get Fit Faster with a High-Tech Tracker: Analyze Human Activity and GPS Data for Improved Results,"Description (Background, Detailed Description, and Expected Solution): Various fields require Human Action Recognition (HAR) to function optimally. For instance, the healthcare sector needs HAR to monitor the activities of patients, the elderly, or people with specific needs. By doing so, it can offer prompt services and make decisions in real-time according to the requirements. Similarly, the sports industry also utilizes HAR to track a player's performance by monitoring their movements, identifying and comparing the actions performed, and conducting automatic statistical analysis. Consequently, it is essential to implement such workflows quickly and more efficiently based on specific domain requirements. An effective solution is to consider various sensor data from mobile phones, such as accelerometers and GPS, and analyze such short-duration time series data. The analysis may aim at estimating the activity, distance traveled, steps taken, calories burned, and altitude climbed, among others. The solution is expected in the form of Android/iOS app that is developed using Simulink (with the help of Android/iOS support packages). References links below: 1. Counting Steps by Capturing Acceleration Data from Your Mobile Device https://in.mathworks.com/help/matlabmobile/ug/counting-steps-by-capturing-acceleration-data.html 2. Acquire GPS Data from Your Mobile Device and Plot Your Location and Speed on a Map https://in.mathworks.com/help/matlabmobile/ug/acquire-gps-data-and-plot-your-location-and-speed-on-a-map.html 3. Human Activity Recognition Simulink Model for Smartphone Deployment https://in.mathworks.com/help/stats/human-activity-recognition-simulink-model-for-deployment.html 4. High School Students Create Fitness Trackers for MATLAB STEM Challenge https://blogs.mathworks.com/student-lounge/2019/06/05/fitness-trackers-stem-challenge/ 5. Introduction to Machine Learning https://in.mathworks.com/videos/series/introduction-to-machine-learning.html YouTube Link/Video Link (3-minute video explaining the problem statement): Signal Processing and Machine Learning Techniques for Sensor Data Analytics * https://www.youtube.com/watch?v=GZ3KUPqA1JM","Smart Automation, Software"
RUTH281,Efficient enumeration of URLs of active hidden servers over anonymous channel (TOR),"The Onion Routing (TOR) is an overlay anonymous network over internet, which not only anonymizes clients accessing the TOR network or internet but also facilitate hosting of servers anonymously. These servers have been reported to be hosting various hidden services involved in malicious activities. The goal of this problem statement is to develop Proof of Concept (PoC) to enumerate URLs (.onion) of active hidden servers hosted over TOR. Teams are supposed to examine the cryptographic security controls and survey existing vulnerabilities in underlying security architecture of TOR network to develop PoC for efficient enumeration of URLs of active hidden services hosted over TOR","Blockchain & Cybersecurity, Software"
RUTH282,Create an intelligent system using AI/ML to detect phishing domains which imitate look and feel of genuine domains,"Phishing attack is the most prevalent attack technique to compromise users worldwide. Phishing links/websites are shared through number of mediums like email, SMS etc. to target users. These domains are at times host user login page that imitates the genuine target websites. Login attempts on such pages can lead to compromise of user credentials and may also download malicious payload in user computers. The objective of the problem is to identify such phishing domains from the newly registered websites based on open source databases (Example WHOIS Database). Such databases provide list of newly registered domains. The tool should be automated and harness power of AI/ML to identify phishing domains from genuine domains. It may use the following techniques: (a) Backend code / content similarity in web pages. (b) Web page image analysis (i.e. analysis between genuine and phishing site web page images; more the similarity better is the probability score of being a lookalike phishing site). The evaluation would be based on the toolÃƒÂ¢Ã¢â€šÂ¬Ã¢â€žÂ¢s ability with regard to the following: (e) Probability scores of phishing domains on how close they are to the genuine domain. (f) Ability to detect new phishing domains in reasonable time. (g) Ease of use and flexibility in output formats.","Blockchain & Cybersecurity, Software"
RUTH283,Develop Ransomware Readiness Assessment tool,Ransomware is a type of malicious software designed to block access ICT devices by encryption of data until ransom is paid to attacker. It is of paramount importance to increase awareness regarding such attacks and assess readiness of the ICT infrastructure of any organisation to thwart these attacks or atleast recover at the earliest. The developer should design and deploy a methodology to evaluate posture and preparedness of an organization towards stopping / mitigating threat from ransomware attack. The developed tool shall be evaluated based on following: (a) Depth of the tool to assess readiness of organization to hinder / stop /mitigate ransomware attack. (b) Assessment of organization towards detection of early signs of ransomware. (c) Ease of use and awareness imparted by the tool. (d) Visualization and reporting of the maturity assessment of the organization,"Blockchain & Cybersecurity, Software"
RUTH284,Develop a AI/ML tool to detect whether a system / firewall /router / network is compromised.The technique should not rely only on IoCs (Indicators of Compromises) detection,"Early detection of a compromise of any compute device is critical for security of critical information infrastructure. While most of infections on ICT are detected using IoCs (Indicators of Compromises), the objective of this problem is to explore techniques for detection of compromise on devices using AI / ML models when the IoC of the compromise is not known. The developer should employ innovative models for non-IoCs based detection of compromise on devices. The evaluation of the solution will be based on the following: (a) Innovation and ruggedness of the method of detection of compromise. (b) Utility of the method developed over various types of devices including system / firewall / router / network. (c) Ease of deployment and method of reporting of detected compromise. (d) Ability to minimize false alarms of compromise","Blockchain & Cybersecurity, Software"
RUTH285,Develop and deploy a Large Language Model (LLM) based tool for generating human like responses to natural language inputs for network not connected over internet,"LLMs have been released by various entities / research organizations for academic and commercial use. These models can be used for generating human like responses on text based systems with server-client model. The objective of the problem is to develop a tool for network not connected to internet with following basic functions: (a) AI/ML based Text Summarization of given text. (b) Summarization of Science andamp; Technology (Sandamp;T) related documents. (c) Summarization of NEWS papers headlines and editorial pages for quick overview of specific topics. (d) Reformatting and grammar checks with contextual integrity. (e) Additional capabilities which the developer can incorporate based on features available in open source LLM models. The solutions shall be graded on the capabilities, ease of use, flexibility and scalability of deployment and number of compatible models","Smart Automation, Software"
RUTH286,"Design, develop and implement a software bill of materials (SBOM) generation tool that can generate the complete SBOM of custom-developed software (including in-house developments by organisations)","SBOM stands for Software Bill of Material and lists out all the packages / modules used from various repositories to make the final solution. This list is essential for identification of vulnerabilities that may impact the final solution. This is critical for supply chain vulnerability management of solutions deployed within the organisation. Thus the task for developers is to develop a software which automatically lists various libraries, dependencies and modules that have been used for making of a given application and generates underlying SBOM. There would be added focus on creating features which can red flag anomalies with an ability to lay out the context to the user. The evaluation shall be based on automation, granularity and accuracy of the SBOM generated. Example, if the developer can identify the version of the libraries used, it shall be graded higher. Ease of use and user experience are other important metrics of evaluation.","Smart Automation, Software"
RUTH287,De-anonymisation for monitoring and tracking of illegal activities performed using cryptocurrency transaction technology,"Whatever the darkest corner of diabolical human mind can conceive, Dark-Web can deliver with anonymity and impunity. Dark web markets and forums are filled with illicit activities such as counterfeit currency, fake documents, contraband drugs, ransomware attacks etc. In India, Dark-web crimes have proliferated in recent times especially in the arena of Cyber terrorism, drug trafficking, counterfeit documents, currency and sale of classified Government documents. Governments have also recently raised concern over digital currency and use of Dark-Web for drug trafficking. It is important that appropriate tools and techniques may be developed to monitor and track anti-national activities carried out behind the shield of anonymity by using dark web and cryptocurrency technology.","Blockchain & Cybersecurity, Software"
RUTH288,"Students to use Autodesk Fusion 360 to research and develop a design on “Smart Glass Cleaning Robot”, which can climb, clean, and carry liquid cleaners. For additional information and detailed problem statement, please visit: https://damassets.autodesk.net/content/dam/autodesk/www/pdfs/sih-2023-software-edition.pdf","Research and develop a design on “Smart Glass Cleaning Robot”, which can climb, clean, and carry liquid cleaners. For additional information and detailed problem statement, please visit: https://damassets.autodesk.net/content/dam/autodesk/www/pdfs/sih-2023-software-edition.pdf","Robotics and Drones, Software"
